Time (min)	Temperature (C)	Weight (mg)
0.002055556	19.75327	11.0803
0.004166667	19.75282	11.08037
0.0125	19.74379	11.08033
0.02083334	19.74408	11.08022
0.02916666	19.74525	11.08022
0.0375	19.74322	11.08026
0.04583334	19.74663	11.08024
0.05416668	19.74324	11.08014
0.0625	19.73969	11.0802
0.07083332	19.7438	11.08028
0.07916666	19.7437	11.08032
0.0875	19.74172	11.08042
0.09583332	19.74031	11.08065
0.1041666	19.74995	11.08091
0.1125	19.75028	11.08109
0.1208333	19.75672	11.08132
0.1291666	19.75504	11.08164
0.1375	19.76341	11.08199
0.1458333	19.76718	11.08229
0.1541667	19.77624	11.08256
0.1625	19.78572	11.08289
0.1708334	19.80345	11.08313
0.1791666	19.80178	11.08338
0.1875	19.80895	11.08368
0.1958334	19.82136	11.08394
0.2041667	19.83382	11.08412
0.2125	19.84379	11.08431
0.2208333	19.86383	11.08452
0.2291667	19.87621	11.08459
0.2375	19.88954	11.08472
0.2458334	19.90787	11.08484
0.2541666	19.92872	11.08496
0.2625	19.95296	11.085
0.2708334	19.97326	11.08504
0.2791667	19.99729	11.08511
0.2875	20.01516	11.08519
0.2958333	20.04262	11.08521
0.3041667	20.0706	11.0852
0.3125	20.09499	11.08528
0.3208333	20.12565	11.08532
0.3291667	20.1583	11.0853
0.3375	20.19065	11.08527
0.3458333	20.22595	11.08527
0.3541666	20.25704	11.0852
0.3625	20.29108	11.08513
0.3708334	20.33494	11.0851
0.3791666	20.37235	11.08511
0.3875	20.4116	11.08507
0.3958334	20.45402	11.08508
0.4041666	20.49781	11.08502
0.4125	20.54011	11.08497
0.4208333	20.59292	11.08491
0.4291667	20.63913	11.08486
0.4375	20.68732	11.08482
0.4458333	20.73634	11.08476
0.4541667	20.79261	11.08468
0.4625	20.8455	11.08461
0.4708334	20.90162	11.08456
0.4791666	20.9591	11.08443
0.4875	21.01684	11.08435
0.4958334	21.08013	11.0843
0.5041666	21.14111	11.08426
0.5125	21.20258	11.08418
0.5208332	21.27191	11.08409
0.5291666	21.34075	11.08402
0.5375	21.40734	11.0839
0.5458334	21.4716	11.08376
0.5541668	21.54742	11.08363
0.5625	21.62904	11.0835
0.5708332	21.69842	11.08339
0.5791666	21.77532	11.08326
0.5875	21.85603	11.0832
0.5958334	21.93408	11.0831
0.6041668	22.0181	11.08302
0.6125	22.10216	11.08297
0.6208334	22.1867	11.08296
0.6291666	22.28425	11.08294
0.6375	22.35988	11.08289
0.6458332	22.4543	11.08289
0.6541666	22.54188	11.08288
0.6625	22.63396	11.08286
0.6708334	22.72922	11.08277
0.6791668	22.82418	11.08274
0.6875	22.93868	11.08271
0.6958332	23.04168	11.08263
0.7041666	23.14204	11.08256
0.7125	23.24204	11.08253
0.7208334	23.34883	11.0825
0.7291668	23.4539	11.08242
0.7375	23.54683	11.08234
0.7458334	23.64983	11.08224
0.7541666	23.76575	11.08212
0.7625	23.87552	11.08201
0.7708332	23.98801	11.08194
0.7791666	24.10438	11.08188
0.7875	24.22422	11.08182
0.7958334	24.33668	11.08174
0.8041668	24.45534	11.08168
0.8125	24.5746	11.08163
0.8208332	24.70102	11.08154
0.8291666	24.82318	11.08151
0.8375	24.94683	11.0815
0.8458334	25.0725	11.08147
0.8541668	25.2017	11.0814
0.8625	25.33115	11.08134
0.8708332	25.46214	11.08128
0.8791668	25.59786	11.08121
0.8875	25.73171	11.08116
0.8958332	25.86388	11.0811
0.9041666	26.00023	11.08108
0.9125	26.13435	11.08106
0.9208334	26.27594	11.08103
0.9291668	26.41515	11.08104
0.9375	26.55825	11.08103
0.9458332	26.69914	11.08103
0.9541666	26.8437	11.081
0.9625	26.99155	11.08102
0.9708334	27.1355	11.081
0.9791668	27.28638	11.08089
0.9875	27.43705	11.08087
0.9958332	27.5866	11.08083
1.004167	27.73223	11.08076
1.0125	27.88924	11.08066
1.020833	28.03792	11.08056
1.029167	28.19182	11.08049
1.0375	28.35413	11.08043
1.045834	28.5064	11.08038
1.054167	28.66472	11.08034
1.0625	28.82758	11.08037
1.070833	28.98764	11.08038
1.079166	29.14419	11.0804
1.0875	29.30459	11.08044
1.095833	29.47026	11.08048
1.104166	29.63526	11.08053
1.1125	29.79996	11.08056
1.120833	29.96778	11.08058
1.129167	30.13445	11.08056
1.1375	30.30138	11.08057
1.145834	30.47063	11.08058
1.154167	30.63811	11.08054
1.1625	30.80478	11.08052
1.170834	30.98376	11.0805
1.179167	31.1532	11.0805
1.1875	31.32527	11.08045
1.195833	31.49794	11.08043
1.204166	31.67275	11.0804
1.2125	31.84612	11.08041
1.220833	32.02549	11.0804
1.229166	32.20084	11.0804
1.2375	32.37725	11.08042
1.245833	32.55224	11.0804
1.254167	32.73104	11.08041
1.2625	32.91045	11.08042
1.270834	33.09125	11.08046
1.279167	33.27013	11.08045
1.2875	33.45192	11.08045
1.295834	33.63546	11.08044
1.304167	33.82135	11.08047
1.3125	33.99988	11.08047
1.320833	34.18594	11.0804
1.329166	34.3652	11.0804
1.3375	34.55436	11.08036
1.345833	34.746	11.08032
1.354166	34.92512	11.08031
1.3625	35.10974	11.0803
1.370833	35.29811	11.0803
1.379167	35.48636	11.08032
1.3875	35.67328	11.08031
1.395834	35.86057	11.08034
1.404167	36.04356	11.08039
1.4125	36.23656	11.08038
1.420834	36.42256	11.0804
1.429167	36.61474	11.08043
1.4375	36.8059	11.08043
1.445833	36.99924	11.08043
1.454166	37.18078	11.08039
1.4625	37.37808	11.08033
1.470833	37.56676	11.0803
1.479166	37.75735	11.08028
1.4875	37.94925	11.08024
1.495833	38.15878	11.08023
1.504167	38.35022	11.08022
1.5125	38.54426	11.08022
1.520834	38.7373	11.08025
1.529167	38.92597	11.08026
1.5375	39.11611	11.0803
