Time (min)	Temperature (C)	Weight (mg)
5.56E-04	19.96906	10.95739
0.01666667	19.97564	10.95738
0.05	19.98236	10.9574
0.07916666	19.98442	10.95741
0.1083334	19.99197	10.95768
0.1416666	19.99742	10.95801
0.1708333	20.00508	10.95831
0.2	20.01251	10.95848
0.2333333	20.0302	10.95874
0.2625	20.0397	10.95902
0.2916666	20.04817	10.95929
0.325	20.05425	10.95956
0.3541666	20.05978	10.95977
0.3833334	20.04813	10.95996
0.4166666	20.05558	10.9601
0.4458333	20.06266	10.96017
0.475	20.07296	10.96024
0.5083333	20.08169	10.96034
0.5375	20.09587	10.96039
0.5666666	20.09616	10.96035
0.6	20.10734	10.96031
0.6291666	20.11762	10.96034
0.6583332	20.13123	10.96036
0.6916666	20.14351	10.96031
0.7208334	20.15809	10.96019
0.75	20.16924	10.96009
0.7833334	20.18758	10.96011
0.8125	20.20565	10.96018
0.8416668	20.21715	10.96014
0.875	20.23512	10.96017
0.9041666	20.25197	10.96012
0.9333332	20.27156	10.96006
0.9666668	20.29352	10.95991
0.9958332	20.31502	10.95994
1.025	20.33371	10.95998
1.058333	20.35628	10.96004
1.0875	20.37642	10.95989
1.116667	20.39981	10.95971
1.15	20.42942	10.95966
1.179167	20.45172	10.95975
1.208334	20.47514	10.95971
1.241667	20.5073	10.9596
1.270834	20.53086	10.95962
1.3	20.55802	10.95971
1.333334	20.58828	10.95978
1.3625	20.62161	10.95973
1.391667	20.64557	10.95971
1.425	20.67911	10.95964
1.454166	20.70933	10.95964
1.483334	20.73617	10.95964
1.516667	20.77287	10.95961
1.545834	20.80457	10.95955
1.575	20.83228	10.95954
1.608334	20.86934	10.95957
1.6375	20.89891	10.95964
1.666667	20.93237	10.95968
1.7	20.9692	10.95971
1.729166	21.00038	10.95968
1.758334	21.03195	10.95969
1.791667	21.07006	10.95964
1.820834	21.10587	10.95966
1.85	21.13556	10.95965
1.883334	21.17416	10.95969
1.9125	21.20912	10.95972
1.941666	21.24334	10.95973
1.975	21.28098	10.95967
2.004166	21.31988	10.95962
2.033333	21.36464	10.9596
2.066666	21.40287	10.95964
2.095833	21.42173	10.95955
2.125	21.45048	10.95945
2.158333	21.48876	10.95948
2.1875	21.52384	10.95966
2.216667	21.55727	10.95975
2.25	21.59346	10.95986
2.279167	21.62918	10.95978
2.308334	21.66211	10.95969
2.341667	21.69745	10.95952
2.370834	21.73082	10.95952
2.4	21.77077	10.95952
2.433334	21.8026	10.95956
2.4625	21.83701	10.95958
2.491667	21.86682	10.95957
2.525	21.904	10.95954
2.554166	21.93652	10.95954
2.583334	21.97035	10.95957
2.616667	22.00515	10.95949
2.645833	22.03958	10.9594
2.675	22.06968	10.9594
2.708334	22.10488	10.95952
2.7375	22.13604	10.95958
2.766666	22.16826	10.95956
2.8	22.20374	10.9596
2.829166	22.23422	10.95966
2.858334	22.26482	10.95965
2.891666	22.30069	10.9596
2.920833	22.33139	10.95954
2.95	22.36033	10.95948
2.983334	22.39318	10.95944
3.0125	22.42178	10.95952
3.041667	22.45344	10.95956
3.075	22.48862	10.95956
3.104166	22.5158	10.95957
3.133333	22.54543	10.95961
3.166667	22.58027	10.95966
3.195833	22.60971	10.95965
3.225	22.63942	10.95963
3.258333	22.67352	10.95956
3.2875	22.70504	10.9596
3.316666	22.73152	10.9596
3.35	22.768	10.95958
3.379166	22.79469	10.95958
3.408333	22.82029	10.95959
3.441666	22.85625	10.95958
3.470833	22.88363	10.95958
3.5	22.91238	10.95962
3.533333	22.9435	10.95958
3.5625	22.97288	10.95957
3.591667	23.00161	10.95958
3.625	23.0354	10.9596
3.654167	23.06385	10.95955
3.683334	23.09068	10.95953
3.716667	23.12375	10.95959
3.745834	23.15262	10.95959
3.775	23.18086	10.95957
3.808334	23.21028	10.95954
3.8375	23.23609	10.95953
3.866666	23.26651	10.95941
3.9	23.29856	10.95939
3.929166	23.32531	10.95947
3.958334	23.35197	10.9596
3.991666	23.3878	10.95963
4.020833	23.41457	10.9596
4.05	23.446	10.95955
4.083333	23.47484	10.95941
4.1125	23.50003	10.95924
4.141667	23.5364	10.95915
4.175	23.56344	10.95926
4.204166	23.59174	10.95941
4.233334	23.6199	10.95949
4.266667	23.65367	10.95954
4.295833	23.69795	10.95958
4.325	23.71604	10.95955
4.358334	23.74261	10.9596
4.3875	23.76652	10.95958
4.416666	23.79753	10.95952
4.45	23.8289	10.95945
4.479166	23.85817	10.95949
4.508333	23.88707	10.95952
4.541666	23.91774	10.95947
4.570833	23.94597	10.9594
4.6	23.97715	10.95945
4.633333	24.01014	10.95948
4.6625	24.03798	10.95948
4.691666	24.06614	10.95945
4.725	24.09874	10.95941
4.754166	24.12613	10.95928
4.783333	24.15327	10.95925
4.816666	24.18854	10.95927
4.845833	24.21784	10.95923
4.875	24.24373	10.95918
4.908333	24.27813	10.95933
4.9375	24.30798	10.95951
4.966667	24.33667	10.95959
5	24.36863	10.95952
5.029167	24.39439	10.95938
5.058334	24.42956	10.9593
5.091667	24.45877	10.95923
5.120834	24.49035	10.95923
5.15	24.51823	10.95928
5.183334	24.55174	10.95939
5.2125	24.57942	10.95944
5.241667	24.60951	10.9594
5.275	24.64247	10.9594
5.304168	24.67062	10.95941
5.333332	24.70036	10.95946
5.366668	24.7336	10.95946
5.395832	24.76439	10.95941
5.425	24.79138	10.95942
5.458332	24.82554	10.95947
5.4875	24.84948	10.95953
5.516668	24.88151	10.9595
5.55	24.91484	10.95941
5.579166	24.94306	10.95932
5.608334	24.9729	10.9592
5.641668	25.00564	10.95924
5.670832	25.03938	10.95929
5.7	25.08131	10.95929
5.733334	25.1146	10.95932
5.7625	25.14204	10.9594
5.791666	25.1557	10.95953
5.825	25.1873	10.95955
5.854166	25.2178	10.95953
5.883334	25.24694	10.95945
5.916666	25.28225	10.95935
5.945832	25.3109	10.95928
5.975	25.33976	10.95932
6.008334	25.37254	10.95927
6.0375	25.40206	10.95931
6.066666	25.43114	10.95932
6.1	25.46704	10.9594
6.129166	25.49445	10.9594
6.158332	25.52262	10.95942
6.191666	25.55567	10.95942
6.220832	25.59334	10.95938
6.25	25.6217	10.95935
6.283332	25.6566	10.95935
6.3125	25.68307	10.95933
6.341668	25.71417	10.95932
6.375	25.74323	10.9593
6.404166	25.77118	10.9593
6.433334	25.80619	10.95931
6.466666	25.83734	10.95935
6.495834	25.8666	10.95938
6.525	25.89576	10.95939
6.558334	25.9218	10.95937
6.5875	25.94875	10.95918
6.616668	25.98222	10.95898
6.65	26.01577	10.959
6.679168	26.0444	10.9592
6.708332	26.07422	10.95934
6.741668	26.11261	10.95939
6.770832	26.134	10.9594
6.8	26.16367	10.95939
6.833332	26.19403	10.95925
6.8625	26.22424	10.95906
6.891668	26.25241	10.95895
6.925	26.28572	10.95901
6.954166	26.31576	10.95922
6.983334	26.34685	10.95932
7.016668	26.3787	10.95935
7.045832	26.40837	10.95934
7.075	26.43781	10.95924
7.108334	26.4691	10.95923
7.1375	26.49957	10.95923
7.166666	26.52725	10.95924
7.2	26.57449	10.95911
7.229166	26.60544	10.9591
7.258334	26.63562	10.95913
7.291666	26.65471	10.95912
7.320832	26.68304	10.9591
7.35	26.7109	10.9592
7.383334	26.74865	10.95929
7.4125	26.77087	10.95929
7.441666	26.8007	10.95919
7.475	26.83338	10.95921
7.504166	26.86657	10.95923
7.533334	26.89404	10.95924
7.566666	26.926	10.95914
7.595834	26.9548	10.95912
7.625	27.00038	10.95914
7.658334	27.03457	10.95925
7.6875	27.06213	10.95931
7.716666	27.08749	10.95929
7.75	27.10769	10.9592
7.779166	27.13663	10.95911
7.808334	27.16492	10.95906
7.841666	27.19914	10.9591
7.870834	27.22965	10.95916
7.9	27.2566	10.95916
7.933334	27.2897	10.95913
7.9625	27.32096	10.95908
7.991668	27.34892	10.95895
8.025	27.3821	10.95889
8.054168	27.41105	10.95884
8.083332	27.44148	10.95884
8.116668	27.47578	10.9588
8.145832	27.50366	10.9589
8.175	27.53222	10.95907
8.208332	27.56577	10.9591
8.2375	27.59768	10.95907
8.266666	27.62652	10.95905
8.3	27.65848	10.95906
8.329166	27.68791	10.95904
8.358334	27.71704	10.95912
8.391666	27.74835	10.9591
8.420834	27.77832	10.95908
8.45	27.8065	10.95906
8.483334	27.8433	10.9591
8.5125	27.87216	10.95907
8.541666	27.90253	10.95906
8.575	27.93442	10.95906
8.604168	27.96368	10.95891
8.633332	27.99408	10.95887
8.666666	28.02604	10.95894
8.695832	28.07333	10.95909
8.725	28.09464	10.9591
8.758332	28.11618	10.95908
8.787499	28.146	10.95907
8.816666	28.17476	10.95896
8.85	28.2072	10.95888
8.879166	28.23581	10.95884
8.908332	28.2647	10.95897
8.941666	28.2989	10.95904
8.970834	28.327	10.95913
9	28.35778	10.95914
9.033332	28.38971	10.95914
9.0625	28.42896	10.95916
9.091668	28.46438	10.95911
9.125	28.48431	10.95905
9.154166	28.50992	10.95897
9.183334	28.54035	10.959
9.216668	28.57536	10.95896
9.245834	28.60011	10.95889
9.275	28.62705	10.95874
9.308334	28.65979	10.95862
9.3375	28.68917	10.95865
9.366668	28.71928	10.95874
9.4	28.75158	10.95884
9.429168	28.78027	10.95891
9.458332	28.81236	10.95886
9.491668	28.8591	10.9589
9.520832	28.89358	10.95893
9.55	28.91981	10.95902
9.583332	28.95318	10.959
9.6125	28.98014	10.95892
9.641666	29.00765	10.95886
9.675	29.02656	10.9589
9.704166	29.05684	10.95897
9.733334	29.08529	10.95907
9.766666	29.11798	10.95904
9.795834	29.14745	10.95901
9.825	29.17769	10.95901
9.858334	29.21104	10.95905
9.8875	29.2412	10.95904
9.916666	29.2672	10.95903
9.95	29.30215	10.95902
9.979168	29.33118	10.95904
10.00833	29.35932	10.95902
10.04167	29.39386	10.95896
10.07083	29.42257	10.95895
10.1	29.45116	10.95899
10.13333	29.48447	10.95904
10.1625	29.51416	10.95909
10.19167	29.54602	10.95906
10.225	29.57613	10.959
10.25417	29.60553	10.95896
10.28333	29.64758	10.95895
10.31667	29.67828	10.95891
10.34583	29.69522	10.9589
10.375	29.7231	10.95894
10.40833	29.75872	10.959
10.4375	29.78801	10.95898
10.46667	29.81657	10.95897
10.5	29.85105	10.95898
