Time (min)	Temperature (C)	Weight (mg)
1.495833	24.67334	11.013
1.504167	24.71986	11.01296
1.5125	24.77266	11.01293
1.520834	24.81494	11.0129
1.529167	24.86408	11.0129
1.5375	24.91768	11.01291
1.545834	24.96298	11.01293
1.554167	25.01081	11.0129
1.5625	25.05748	11.01292
1.570833	25.11116	11.01292
1.579166	25.15512	11.01287
1.5875	25.20593	11.01289
1.595833	25.25606	11.0129
1.604166	25.30172	11.01292
1.6125	25.35242	11.01288
1.620833	25.39961	11.01285
1.629167	25.45047	11.01283
1.6375	25.4943	11.01279
1.645834	25.54703	11.01278
1.654167	25.59534	11.01277
1.6625	25.64347	11.01275
1.670834	25.69004	11.01275
1.679166	25.73914	11.01276
1.6875	25.78602	11.01276
1.695834	25.83544	11.01278
1.704166	25.88777	11.01278
1.7125	25.93263	11.01278
1.720833	25.99658	11.01281
1.729166	26.04535	11.01282
1.7375	26.08208	11.01276
1.745833	26.13005	11.01276
1.754167	26.1825	11.01276
1.7625	26.2301	11.01274
1.770834	26.28018	11.01272
1.779167	26.32782	11.01271
1.7875	26.37423	11.0127
1.795834	26.42553	11.01266
1.804166	26.474	11.01265
1.8125	26.52133	11.01264
1.820834	26.57109	11.01265
1.829166	26.61959	11.01262
1.8375	26.66967	11.0126
1.845833	26.71485	11.01259
1.854166	26.76823	11.01251
1.8625	26.81582	11.01248
1.870833	26.86264	11.01248
1.879167	26.91476	11.01249
1.8875	26.96073	11.01248
1.895834	27.01012	11.01248
1.904167	27.0612	11.0125
1.9125	27.10525	11.0125
1.920834	27.155	11.01253
1.929166	27.20503	11.01257
1.9375	27.24852	11.01264
1.945834	27.30096	11.01266
1.954166	27.34961	11.01267
1.9625	27.39735	11.01271
1.970833	27.44756	11.01273
1.979166	27.49228	11.01272
1.9875	27.54077	11.01272
1.995833	27.58974	11.01273
2.004166	27.63562	11.0127
2.0125	27.68824	11.01268
2.020833	27.73384	11.01266
2.029167	27.78068	11.01268
2.0375	27.83389	11.01267
2.045834	27.87725	11.01267
2.054166	27.9269	11.01266
2.0625	27.97204	11.01268
2.070834	28.02166	11.01267
2.079166	28.06762	11.01265
2.0875	28.11501	11.01267
2.095833	28.15964	11.01268
2.104167	28.20936	11.0127
2.1125	28.2604	11.0127
2.120834	28.30575	11.01269
2.129166	28.35492	11.01266
2.1375	28.40169	11.01264
2.145833	28.44675	11.01263
2.154167	28.49447	11.01263
2.1625	28.54108	11.01264
2.170834	28.5884	11.01263
2.179166	28.63654	11.01266
2.1875	28.6836	11.01266
2.195834	28.72908	11.01265
2.204166	28.77875	11.01264
2.2125	28.82302	11.01261
2.220833	28.87012	11.01261
2.229167	28.91614	11.0126
2.2375	28.96387	11.01259
2.245834	29.00698	11.01256
2.254166	29.05728	11.01252
2.2625	29.10142	11.01245
2.270833	29.14892	11.01239
2.279167	29.19352	11.01234
2.2875	29.24125	11.01231
2.295834	29.28404	11.01229
2.304166	29.33215	11.01226
2.3125	29.37504	11.01222
2.320834	29.41934	11.01227
2.329166	29.46908	11.01229
2.3375	29.51592	11.01234
2.345833	29.55622	11.0124
2.354167	29.60526	11.01245
2.3625	29.64889	11.0125
2.370834	29.69068	11.01256
2.379166	29.7388	11.01262
2.3875	29.79706	11.01266
2.395833	29.83414	11.0127
2.404167	29.87678	11.01267
2.4125	29.91883	11.0127
2.420834	29.9631	11.01268
2.429166	30.00864	11.01268
2.4375	30.05524	11.0127
2.445834	30.09862	11.01271
2.454166	30.14742	11.0127
2.4625	30.18965	11.01272
2.470833	30.23488	11.01276
2.479167	30.2752	11.01275
2.4875	30.31948	11.01276
2.495834	30.36424	11.01276
2.504166	30.407	11.01278
2.5125	30.45367	11.01276
2.520833	30.49155	11.01274
2.529167	30.53752	11.01276
2.5375	30.58108	11.01279
2.545834	30.62705	11.0128
2.554166	30.67053	11.01278
2.5625	30.7104	11.01282
2.570834	30.76034	11.01282
2.579166	30.80168	11.01281
2.5875	30.85457	11.01279
2.595833	30.90569	11.01276
2.604167	30.9534	11.01278
2.6125	30.99041	11.01278
2.620834	31.03448	11.01273
2.629166	31.07876	11.01272
2.6375	31.10464	11.01269
2.645833	31.14628	11.01268
2.654167	31.18879	11.01268
2.6625	31.22996	11.01266
2.670834	31.27248	11.01266
2.679166	31.31722	11.0127
2.6875	31.36471	11.01268
2.695834	31.41038	11.01264
2.704166	31.44326	11.01267
2.7125	31.48949	11.01264
2.720833	31.5299	11.01265
2.729167	31.57136	11.01266
2.7375	31.61352	11.01265
2.745834	31.65178	11.01268
2.754166	31.69768	11.01271
2.7625	31.73953	11.01273
2.770833	31.7814	11.01274
2.779167	31.82408	11.01275
2.7875	31.86786	11.01274
2.795834	31.90818	11.01275
2.804166	31.94848	11.01278
2.8125	31.99182	11.01272
2.820834	32.0306	11.01271
2.829166	32.075	11.01268
2.8375	32.11283	11.01266
2.845833	32.15058	11.01263
2.854167	32.19651	11.01258
2.8625	32.23917	11.01256
2.870834	32.28211	11.01252
2.879166	32.32089	11.0125
2.8875	32.36109	11.01252
2.895833	32.40597	11.01252
2.904167	32.44705	11.01246
2.9125	32.48764	11.01246
2.920834	32.52852	11.01244
2.929166	32.5711	11.01243
2.9375	32.60856	11.01246
2.945834	32.65246	11.01242
2.954166	32.69066	11.01247
2.9625	32.73394	11.01248
2.970833	32.77392	11.01241
2.979167	32.81459	11.01244
2.9875	32.8527	11.01248
2.995834	32.89352	11.01252
3.004166	32.93587	11.01253
3.0125	32.97964	11.01253
3.020833	33.01723	11.01255
3.029167	33.05664	11.01262
3.0375	33.1	11.01262
3.045834	33.13672	11.01265
3.054166	33.17706	11.01268
3.0625	33.21972	11.01269
3.070834	33.25761	11.01271
3.079166	33.2973	11.01271
3.0875	33.33824	11.01272
3.095833	33.38388	11.01275
3.104167	33.42005	11.01271
3.1125	33.45996	11.01272
3.120834	33.50406	11.0127
3.129166	33.54761	11.01265
3.1375	33.58199	11.01263
3.145833	33.62287	11.01264
3.154167	33.66088	11.01264
3.1625	33.7046	11.01262
3.170834	33.7421	11.0126
3.179166	33.78347	11.0126
3.1875	33.826	11.01265
3.195834	33.86642	11.01264
3.204167	33.90156	11.01266
3.2125	33.94428	11.01273
3.220833	33.9863	11.01276
3.229167	34.02495	11.01276
3.2375	34.06482	11.01276
3.245834	34.10391	11.01279
3.254166	34.14233	11.0128
3.2625	34.18237	11.01279
3.270833	34.21766	11.01276
3.279167	34.26224	11.01273
3.2875	34.30261	11.0127
3.295833	34.34496	11.01268
3.304166	34.38182	11.0127
3.3125	34.42007	11.0127
3.320834	34.46016	11.01273
3.329167	34.49593	11.0127
3.3375	34.53958	11.01268
3.345833	34.5787	11.01266
3.354167	34.6232	11.01271
3.3625	34.661	11.0127
3.370834	34.703	11.01272
3.379166	34.73972	11.0127
3.3875	34.77726	11.01267
3.395833	34.8211	11.01263
3.404167	34.85634	11.0126
3.4125	34.89467	11.0126
3.420833	34.93688	11.01261
3.429166	34.97366	11.01264
3.4375	35.01667	11.0126
3.445834	35.05638	11.01265
3.454167	35.09336	11.01262
3.4625	35.1315	11.01262
3.470833	35.17492	11.0126
3.479167	35.21136	11.0126
3.4875	35.2513	11.01259
3.495834	35.29306	11.01259
3.504166	35.33318	11.01261
3.5125	35.37122	11.01262
3.520833	35.41414	11.0126
3.529167	35.4505	11.01256
3.5375	35.49034	11.01252
3.545833	35.53158	11.01246
3.554166	35.5693	11.01246
3.5625	35.61006	11.01243
3.570834	35.65163	11.0124
3.579167	35.6911	11.01239
3.5875	35.72869	11.01237
3.595833	35.77063	11.01236
3.604167	35.80784	11.01236
3.6125	35.84638	11.01237
3.620834	35.88562	11.01242
3.629166	35.92968	11.01249
3.6375	35.96743	11.01252
3.645833	36.00434	11.01256
3.654167	36.04576	11.01262
3.6625	36.09538	11.01264
3.670833	36.13945	11.01263
3.679166	36.16674	11.01262
3.6875	36.20215	11.01264
3.695834	36.24598	11.01267
3.704167	36.28762	11.01267
3.7125	36.32192	11.01266
3.720833	36.36687	11.01265
3.729167	36.40576	11.01265
3.7375	36.4452	11.01265
3.745834	36.48315	11.01263
3.754166	36.52578	11.01262
3.7625	36.56656	11.0126
3.770833	36.61316	11.01254
3.779167	36.65908	11.01246
3.7875	36.70084	11.01244
3.795833	36.7381	11.01241
3.804166	36.76572	11.0124
3.8125	36.80417	11.01238
3.820834	36.84234	11.01235
3.829167	36.88127	11.01236
3.8375	36.92113	11.01238
3.845833	36.963	11.01237
3.854167	37	11.01239
3.8625	37.04344	11.01246
3.870834	37.0825	11.01248
3.879166	37.11808	11.01249
3.8875	37.16292	11.01249
3.895833	37.20308	11.01251
3.904167	37.24426	11.01253
3.9125	37.28131	11.01258
3.920833	37.32028	11.01256
3.929166	37.36705	11.01257
3.9375	37.4029	11.01258
3.945834	37.44571	11.01254
3.954167	37.48222	11.01255
3.9625	37.5246	11.01259
3.970833	37.56138	11.01259
3.979167	37.6054	11.01259
3.9875	37.64738	11.01258
3.995834	37.68556	11.01253
4.004166	37.72677	11.01252
4.0125	37.76802	11.01252
4.020834	37.80648	11.01251
4.029167	37.84977	11.01254
4.0375	37.88908	11.01252
4.045833	37.9293	11.01243
4.054167	37.97032	11.01238
4.0625	38.00614	11.01234
4.070833	38.05366	11.0123
4.079167	38.0895	11.01224
4.0875	38.13556	11.01227
4.095833	38.17102	11.01226
4.104166	38.20974	11.01226
4.1125	38.2515	11.01222
4.120834	38.29413	11.01221
4.129166	38.33354	11.01227
4.1375	38.37624	11.0123
4.145834	38.41441	11.01231
4.154167	38.45699	11.0123
4.1625	38.49825	11.0123
4.170833	38.5405	11.01228
4.179167	38.5819	11.01229
4.1875	38.61797	11.0123
4.195833	38.65942	11.01231
4.204167	38.70048	11.01234
4.2125	38.74468	11.01236
4.220833	38.78287	11.01241
4.229166	38.8234	11.01242
4.2375	38.86544	11.01247
4.245834	38.90598	11.01253
4.254166	38.9504	11.01252
4.2625	38.98615	11.01254
4.270834	39.0253	11.01254
4.279167	39.0685	11.01253
4.2875	39.11056	11.01251
4.295833	39.15222	11.01248
4.304167	39.19201	11.01244
4.3125	39.23311	11.01246
4.320833	39.27706	11.01246
4.329167	39.31746	11.01246
4.3375	39.35888	11.01246
4.345833	39.40004	11.01247
4.354166	39.44158	11.01248
4.3625	39.48207	11.01254
4.370834	39.52508	11.01258
4.379166	39.56469	11.01257
4.3875	39.60764	11.01256
4.395834	39.64818	11.01254
4.404167	39.68891	11.01256
4.4125	39.72668	11.01254
4.420833	39.77072	11.01254
4.429167	39.80883	11.01251
4.4375	39.85269	11.01252
4.445833	39.89516	11.01246
4.454167	39.93724	11.01243
4.4625	39.97853	11.01244
4.470833	40.0196	11.01244
4.479166	40.06313	11.01244
4.4875	40.10261	11.01239
4.495834	40.14676	11.0124
4.504166	40.18123	11.01239
4.5125	40.2292	11.0124
4.520834	40.27322	11.0124
4.529167	40.31005	11.01241
4.5375	40.35588	11.01242
4.545833	40.3965	11.01241
4.554167	40.43828	11.01243
4.5625	40.47794	11.01244
4.570833	40.5191	11.01248
4.579167	40.56754	11.01249
4.5875	40.60826	11.01252
4.595833	40.65437	11.01252
4.604166	40.68945	11.0125
4.6125	40.73606	11.01247
4.620834	40.77147	11.01248
4.629166	40.8178	11.01248
4.6375	40.85269	11.0125
4.645834	40.90006	11.0125
4.654167	40.94058	11.01249
4.6625	40.98331	11.01248
4.670833	41.02238	11.01246
4.679167	41.06932	11.01245
4.6875	41.11009	11.01244
4.695833	41.15281	11.01244
4.704167	41.1965	11.01242
4.7125	41.23917	11.0124
4.720833	41.27955	11.01238
4.729166	41.32141	11.01237
4.7375	41.36153	11.01235
4.745834	41.40744	11.01234
4.754166	41.44837	11.01234
4.7625	41.49168	11.01234
4.770834	41.53598	11.01234
4.779167	41.57449	11.01236
4.7875	41.61644	11.01239
4.795833	41.66008	11.0124
4.804167	41.70304	11.0124
4.8125	41.74297	11.01242
4.820833	41.7868	11.01243
4.829167	41.82632	11.01244
4.8375	41.87231	11.01244
4.845833	41.91663	11.01243
4.854166	41.95778	11.01245
4.8625	41.99774	11.01244
4.870834	42.0394	11.0124
4.879166	42.08343	11.0124
4.8875	42.12652	11.01245
4.895834	42.1658	11.01241
4.904167	42.2105	11.01236
4.9125	42.25385	11.01238
4.920833	42.29662	11.01241
4.929167	42.33835	11.0124
4.9375	42.38111	11.01238
4.945833	42.42254	11.01238
4.954167	42.46948	11.01241
4.9625	42.50875	11.01242
4.970833	42.55176	11.01235
4.979166	42.5995	11.01238
4.9875	42.63682	11.01242
4.995834	42.67988	11.01241
5.004166	42.7188	11.01234
5.0125	42.76169	11.01235
5.020834	42.80799	11.01237
5.029167	42.85079	11.01234
5.0375	42.88989	11.01229
5.045833	42.93786	11.0123
5.054167	42.98018	11.01226
5.0625	43.01746	11.01224
5.070833	43.06096	11.01222
5.079167	43.1051	11.01223
5.0875	43.14916	11.01225
5.095833	43.19076	11.01224
5.104166	43.23022	11.0122
5.1125	43.27374	11.01222
5.120834	43.31867	11.01222
5.129166	43.3614	11.01218
5.1375	43.40278	11.01219
5.145834	43.44812	11.0122
5.154167	43.48602	11.01222
5.1625	43.53236	11.0122
5.170833	43.57354	11.01221
5.179167	43.61566	11.01224
5.1875	43.66488	11.01222
5.195833	43.70764	11.01216
5.204167	43.74466	11.01216
5.2125	43.78463	11.01216
5.220833	43.82848	11.01216
5.229166	43.86974	11.01214
5.2375	43.91739	11.01216
5.245834	43.95688	11.01213
5.254166	44.00332	11.0121
