"Time (min)"	"Temperature (°C)"	"Weight (mg)"
.001111111	25.04861	20.45473
.004166667	25.07342	20.45487
0.01250000	25.09773	20.45500
0.02083334	25.12022	20.45510
0.02916666	25.15022	20.45518
0.03750000	25.17722	20.45519
0.04583334	25.20274	20.45522
0.05416668	25.22708	20.45529
0.06250000	25.25383	20.45531
0.07083332	25.27853	20.45531
0.07916666	25.30226	20.45526
0.08750000	25.32992	20.45518
0.09583332	25.35862	20.45513
0.1041666	25.38716	20.45512
0.1125000	25.41789	20.45506
0.1208333	25.44531	20.45502
0.1291666	25.47917	20.45496
0.1375000	25.50914	20.45488
0.1458333	25.54835	20.45484
0.1541667	25.58679	20.45477
0.1625000	25.62410	20.45471
0.1708334	25.65866	20.45467
0.1791666	25.69726	20.45456
0.1875000	25.74066	20.45441
0.1958334	25.78874	20.45433
0.2041667	25.83298	20.45425
0.2125000	25.87938	20.45415
0.2208333	25.93418	20.45399
0.2291667	25.98860	20.45385
0.2375000	26.04210	20.45373
0.2458334	26.09647	20.45360
0.2541666	26.16222	20.45348
0.2625000	26.22410	20.45340
0.2708334	26.29100	20.45331
0.2791667	26.35780	20.45314
0.2875000	26.42722	20.45301
0.2958333	26.50082	20.45289
0.3041667	26.57720	20.45281
0.3125000	26.66026	20.45269
0.3208333	26.73834	20.45254
0.3291667	26.82799	20.45242
0.3375000	26.91417	20.45229
0.3458333	27.01035	20.45213
0.3541666	27.10088	20.45202
0.3625000	27.20040	20.45194
0.3708334	27.30639	20.45177
0.3791666	27.40211	20.45160
0.3875000	27.51334	20.45144
0.3958334	27.62554	20.45128
0.4041666	27.73728	20.45116
0.4125000	27.85593	20.45106
0.4208333	27.97840	20.45088
0.4291667	28.10024	20.45070
0.4375000	28.23018	20.45051
0.4458333	28.36586	20.45030
0.4541667	28.49841	20.45019
0.4625000	28.63719	20.45004
0.4708334	28.78308	20.44986
0.4791666	28.92930	20.44967
0.4875000	29.07702	20.44945
0.4958334	29.23296	20.44923
0.5041666	29.38719	20.44906
0.5125000	29.54419	20.44891
0.5208332	29.71224	20.44878
0.5291666	29.88250	20.44862
0.5375000	30.05468	20.44841
