"Time (min)"	"Temperature (°C)"	"Weight (mg)"
.001722222	18.31399	20.87917
.008333334	18.31307	20.87936
0.02083334	18.31408	20.87956
0.02916666	18.31246	20.87971
0.03750000	18.31411	20.87985
0.05000000	18.31703	20.88002
0.06250000	18.31866	20.88020
0.07083332	18.31758	20.88034
0.07916666	18.31514	20.88047
0.09166668	18.31381	20.88066
0.1041666	18.30858	20.88087
0.1125000	18.31763	20.88097
0.1208333	18.31628	20.88108
0.1333333	18.31626	20.88127
0.1458333	18.31549	20.88145
0.1541667	18.31592	20.88153
0.1625000	18.31416	20.88164
0.1750000	18.31710	20.88184
0.1875000	18.31923	20.88200
0.1958334	18.32123	20.88213
0.2041667	18.32146	20.88228
0.2125000	18.32075	20.88240
0.2250000	18.32288	20.88256
0.2375000	18.32726	20.88274
0.2458334	18.32813	20.88284
0.2541666	18.33320	20.88293
0.2666666	18.33642	20.88308
0.2791667	18.34377	20.88322
0.2875000	18.34442	20.88328
0.2958333	18.34313	20.88337
0.3083334	18.35584	20.88354
0.3208333	18.36027	20.88372
0.3291667	18.36556	20.88381
0.3375000	18.37063	20.88386
0.3500000	18.37754	20.88401
0.3625000	18.38472	20.88412
0.3708334	18.39244	20.88419
0.3791666	18.39540	20.88424
0.3916666	18.40715	20.88436
0.4041666	18.41954	20.88443
0.4125000	18.42728	20.88451
0.4208333	18.43012	20.88465
0.4291667	18.45565	20.88475
0.4416666	18.46084	20.88490
0.4541667	18.46839	20.88511
0.4625000	18.48354	20.88526
0.4708334	18.49219	20.88538
0.4833334	18.50715	20.88558
0.4958334	18.52185	20.88577
0.5041666	18.53440	20.88584
0.5125000	18.54022	20.88591
0.5250000	18.56339	20.88608
0.5375000	18.58258	20.88623
0.5458334	18.60094	20.88634
0.5541668	18.61391	20.88645
0.5666666	18.62991	20.88656
0.5791666	18.65576	20.88670
0.5875000	18.67047	20.88682
0.5958334	18.68496	20.88693
0.6083334	18.71246	20.88705
0.6208334	18.73136	20.88720
0.6291666	18.75155	20.88728
0.6375000	18.76824	20.88736
0.6458332	18.78766	20.88744
0.6583332	18.81291	20.88756
0.6708334	18.86181	20.88773
0.6791668	18.87678	20.88780
0.6875000	18.89198	20.88789
0.7000000	18.91132	20.88803
0.7125000	18.94243	20.88814
0.7208334	18.96342	20.88822
0.7291668	18.98267	20.88833
0.7416668	19.01491	20.88849
0.7541666	19.05119	20.88858
0.7625000	19.07576	20.88866
0.7708332	19.09925	20.88872
0.7833332	19.13314	20.88882
0.7958334	19.16920	20.88892
0.8041668	19.19299	20.88899
0.8125000	19.22274	20.88903
0.8250000	19.25556	20.88912
0.8375000	19.30036	20.88922
0.8458334	19.32367	20.88927
0.8541668	19.35112	20.88938
0.8625000	19.37792	20.88945
0.8750000	19.42021	20.88961
0.8875000	19.46498	20.88977
0.8958332	19.49190	20.88986
0.9041666	19.51947	20.88993
0.9166668	19.56477	20.89003
0.9291668	19.60992	20.89017
0.9375000	19.63885	20.89023
0.9458332	19.67231	20.89030
0.9583332	19.71552	20.89041
0.9708334	19.76450	20.89051
0.9791668	19.79882	20.89060
0.9875000	19.82708	20.89072
1.000000	19.88147	20.89088
1.012500	19.92816	20.89106
1.020833	19.96341	20.89118
1.029167	19.99355	20.89126
1.041667	20.04420	20.89138
1.054167	20.09647	20.89149
1.062500	20.13456	20.89159
1.070833	20.16892	20.89166
1.079166	20.20144	20.89171
1.091667	20.25424	20.89179
1.104166	20.30618	20.89188
1.112500	20.34306	20.89198
1.120833	20.38535	20.89207
1.133334	20.44135	20.89219
1.145834	20.51694	20.89227
1.154167	20.53705	20.89236
1.162500	20.57247	20.89244
1.175000	20.63539	20.89257
1.187500	20.69325	20.89272
1.195833	20.73356	20.89279
1.204166	20.77067	20.89284
1.216667	20.82922	20.89296
1.229166	20.89044	20.89312
1.237500	20.93515	20.89320
1.245833	20.97554	20.89328
1.258334	21.03654	20.89339
1.270834	21.09983	20.89349
1.279167	21.13539	20.89356
1.287500	21.17854	20.89366
1.295834	21.22276	20.89375
1.308334	21.28350	20.89385
1.320833	21.34606	20.89393
1.329166	21.39149	20.89398
1.337500	21.43146	20.89401
1.350000	21.49812	20.89410
1.362500	21.55986	20.89418
1.370833	21.60789	20.89422
1.379167	21.65163	20.89424
1.391666	21.71951	20.89423
1.404167	21.78479	20.89427
1.412500	21.82873	20.89431
1.420834	21.87208	20.89436
1.433334	21.93568	20.89438
1.445833	22.00638	20.89444
1.454166	22.05533	20.89448
1.462500	22.09819	20.89456
1.475000	22.16581	20.89477
1.487500	22.23523	20.89489
1.495833	22.28360	20.89497
1.504167	22.32874	20.89504
1.512500	22.37201	20.89514
1.525000	22.43972	20.89525
1.537500	22.51456	20.89532
1.545834	22.55357	20.89534
1.554167	22.60100	20.89535
1.566666	22.67441	20.89544
1.579166	22.73986	20.89552
1.587500	22.79118	20.89558
1.595833	22.83960	20.89561
1.608334	22.91106	20.89564
1.620833	22.98272	20.89568
1.629167	23.02501	20.89575
1.637500	23.07364	20.89580
1.650000	23.14494	20.89584
1.662500	23.21494	20.89589
1.670834	23.26822	20.89592
1.679166	23.31219	20.89598
1.691666	23.38602	20.89613
1.704166	23.45574	20.89627
1.712500	23.50648	20.89636
1.720833	23.55592	20.89644
1.729166	23.60431	20.89651
1.741666	23.67560	20.89664
1.754167	23.74549	20.89679
1.762500	23.79421	20.89684
1.770834	23.84318	20.89685
1.783333	23.91534	20.89691
1.795834	23.98855	20.89698
1.804166	24.04177	20.89701
1.812500	24.08625	20.89706
1.825000	24.15745	20.89717
1.837500	24.23350	20.89723
1.845833	24.27988	20.89728
1.854166	24.32474	20.89734
1.866666	24.39967	20.89740
1.879167	24.47130	20.89744
1.887500	24.52268	20.89749
1.895834	24.57072	20.89754
1.908333	24.64306	20.89757
1.920834	24.71302	20.89763
1.929166	24.76461	20.89766
1.937500	24.81886	20.89767
1.945834	24.86442	20.89771
1.958333	24.93448	20.89780
1.970833	25.00198	20.89786
1.979166	25.05434	20.89790
1.987500	25.10301	20.89792
2.000000	25.17760	20.89801
2.012500	25.24612	20.89813
2.020833	25.29624	20.89820
2.029167	25.34958	20.89824
2.041666	25.41440	20.89829
2.054166	25.48994	20.89836
2.062500	25.53986	20.89841
2.070834	25.58903	20.89844
2.083334	25.65795	20.89844
2.095833	25.73180	20.89840
2.104167	25.78237	20.89844
2.112500	25.82255	20.89848
2.125000	25.89804	20.89842
2.137500	25.96822	20.89839
2.145833	26.01446	20.89836
2.154167	26.06214	20.89836
2.162500	26.10944	20.89836
2.175000	26.17927	20.89836
2.187500	26.25418	20.89836
2.195834	26.29780	20.89830
2.204166	26.34574	20.89833
2.216667	26.41652	20.89846
2.229167	26.48522	20.89856
2.237500	26.53460	20.89859
2.245834	26.58185	20.89865
2.258333	26.65346	20.89874
2.270833	26.72378	20.89881
2.279167	26.77160	20.89891
2.287500	26.82418	20.89899
2.300000	26.88666	20.89897
2.312500	26.95810	20.89895
2.320834	27.00272	20.89898
2.329166	27.04648	20.89901
2.341667	27.12186	20.89904
2.354167	27.20254	20.89906
2.362500	27.23956	20.89903
2.370834	27.28238	20.89901
2.379166	27.32037	20.89900
2.391666	27.39590	20.89899
2.404167	27.46097	20.89898
2.412500	27.51094	20.89898
2.420834	27.56098	20.89898
2.433334	27.62918	20.89898
2.445834	27.69056	20.89902
2.454166	27.73704	20.89904
2.462500	27.78430	20.89905
2.475000	27.84808	20.89907
2.487500	27.91437	20.89906
2.495834	27.96205	20.89908
2.504166	28.00788	20.89909
2.516666	28.07313	20.89906
2.529167	28.14264	20.89904
2.537500	28.18683	20.89902
2.545834	28.23271	20.89901
2.558334	28.29840	20.89899
2.570834	28.36604	20.89897
2.579166	28.40818	20.89896
2.587500	28.45374	20.89896
2.595833	28.49738	20.89893
2.608334	28.56358	20.89891
2.620834	28.62634	20.89893
2.629166	28.67140	20.89896
2.637500	28.71848	20.89899
2.650000	28.78453	20.89897
2.662500	28.85111	20.89898
2.670834	28.89432	20.89896
2.679166	28.93594	20.89896
2.691666	29.00478	20.89896
2.704166	29.07044	20.89894
2.712500	29.11326	20.89892
2.720833	29.15380	20.89888
2.733334	29.21575	20.89891
2.745834	29.28607	20.89895
2.754166	29.32766	20.89899
2.762500	29.37160	20.89904
2.775000	29.43526	20.89911
2.787500	29.49812	20.89912
2.795834	29.54217	20.89913
2.804166	29.58474	20.89918
2.812500	29.62205	20.89922
2.825000	29.68662	20.89918
2.837500	29.75197	20.89917
2.845833	29.79422	20.89915
2.854167	29.83400	20.89909
2.866667	29.90119	20.89909
2.879166	29.96332	20.89908
2.887500	30.00671	20.89903
2.895833	30.04658	20.89898
2.908333	30.10929	20.89893
2.920834	30.17886	20.89883
2.929166	30.23152	20.89880
2.937500	30.27529	20.89880
2.950000	30.32290	20.89875
2.962500	30.38206	20.89871
2.970833	30.42260	20.89869
2.979167	30.46395	20.89866
2.991667	30.53055	20.89864
3.004166	30.59247	20.89861
3.012500	30.63426	20.89860
3.020833	30.67680	20.89856
3.029167	30.71338	20.89851
3.041666	30.77516	20.89844
3.054166	30.83757	20.89840
3.062500	30.87786	20.89838
3.070834	30.91892	20.89834
3.083334	30.98076	20.89832
3.095833	31.04156	20.89826
3.104167	31.08848	20.89824
3.112500	31.12546	20.89822
3.125000	31.18680	20.89818
3.137500	31.24560	20.89812
3.145833	31.28882	20.89809
3.154167	31.32992	20.89806
3.166666	31.39448	20.89800
3.179166	31.47095	20.89789
3.187500	31.50757	20.89783
3.195834	31.54644	20.89776
3.208334	31.61075	20.89768
3.220833	31.67069	20.89760
3.229167	31.71135	20.89754
3.237500	31.75254	20.89748
3.245834	31.78908	20.89744
3.258333	31.85115	20.89746
3.270833	31.91211	20.89745
3.279167	31.94990	20.89746
3.287500	31.98880	20.89744
3.300000	32.04974	20.89741
3.312500	32.10950	20.89739
3.320834	32.14982	20.89734
3.329167	32.18956	20.89733
3.341667	32.24830	20.89728
3.354167	32.29436	20.89725
3.362500	32.33535	20.89726
3.370834	32.37232	20.89726
3.383333	32.42915	20.89720
3.395833	32.48892	20.89715
3.404167	32.53152	20.89711
3.412500	32.57221	20.89705
3.425000	32.62924	20.89699
3.437500	32.69322	20.89688
3.445834	32.72954	20.89680
3.454167	32.76547	20.89674
3.462500	32.80897	20.89670
3.475000	32.86660	20.89666
3.487500	32.92783	20.89663
3.495834	32.96989	20.89662
3.504166	33.01014	20.89658
3.516667	33.06882	20.89649
3.529167	33.12716	20.89646
3.537500	33.17152	20.89642
3.545833	33.20735	20.89638
3.558334	33.26700	20.89628
3.570834	33.32490	20.89619
3.579167	33.36536	20.89613
3.587500	33.40659	20.89606
3.600000	33.46359	20.89598
3.612500	33.52363	20.89589
3.620834	33.56659	20.89583
3.629166	33.60117	20.89576
3.641667	33.66460	20.89567
3.654167	33.72298	20.89558
3.662500	33.76238	20.89548
3.670833	33.80506	20.89544
3.679166	33.84137	20.89541
3.691666	33.90322	20.89531
3.704167	33.96094	20.89522
3.712500	34.00162	20.89517
3.720833	34.04220	20.89512
3.733333	34.10145	20.89504
3.745834	34.16235	20.89497
3.754166	34.19817	20.89489
3.762500	34.24183	20.89483
3.775000	34.30275	20.89475
3.787500	34.36217	20.89468
3.795833	34.40390	20.89464
3.804166	34.44126	20.89458
3.816666	34.50198	20.89447
3.829167	34.55612	20.89438
3.837500	34.59790	20.89433
3.845833	34.64183	20.89426
3.858333	34.69845	20.89417
3.870834	34.75834	20.89406
3.879166	34.79706	20.89397
3.887500	34.83857	20.89389
3.895833	34.87534	20.89383
3.908333	34.94866	20.89374
3.920833	34.99358	20.89363
3.929166	35.03680	20.89358
3.937500	35.07446	20.89351
3.950000	35.13370	20.89341
3.962500	35.19297	20.89332
3.970833	35.23624	20.89329
