"Time (min)"	"Temperature (°C)"	"Weight (mg)"
1.462500	32.19444	20.27125
1.470833	32.28195	20.27117
1.479166	32.36546	20.27112
1.487500	32.44801	20.27105
1.495833	32.53779	20.27099
1.504167	32.62593	20.27096
1.512500	32.70818	20.27090
1.520834	32.79586	20.27083
1.529167	32.87835	20.27076
1.537500	32.96790	20.27068
1.545834	33.05612	20.27058
1.554167	33.14100	20.27049
1.562500	33.22689	20.27044
1.570833	33.32264	20.27037
1.579166	33.40672	20.27028
1.587500	33.49347	20.27016
1.595833	33.57975	20.27006
1.604166	33.67039	20.26995
1.612500	33.75508	20.26984
1.620833	33.84698	20.26972
1.629167	33.93345	20.26958
1.637500	34.02205	20.26950
1.645834	34.11330	20.26944
1.654167	34.20178	20.26932
1.662500	34.29334	20.26922
1.670834	34.38678	20.26911
1.679166	34.47136	20.26904
1.687500	34.56212	20.26895
1.695834	34.64902	20.26888
1.704166	34.74513	20.26885
1.712500	34.83442	20.26879
1.720833	34.92626	20.26870
1.729166	35.01802	20.26858
1.737500	35.10449	20.26853
1.745833	35.19170	20.26850
1.754167	35.28958	20.26846
1.762500	35.37698	20.26838
1.770834	35.46982	20.26832
1.779167	35.55855	20.26826
1.787500	35.65266	20.26818
1.795834	35.74320	20.26814
1.804166	35.83682	20.26810
1.812500	35.93019	20.26799
1.820834	36.01742	20.26791
1.829166	36.11039	20.26785
1.837500	36.20310	20.26776
1.845833	36.29188	20.26766
1.854166	36.38374	20.26758
1.862500	36.47613	20.26750
1.870833	36.56858	20.26740
1.879167	36.65998	20.26730
1.887500	36.75568	20.26720
1.895834	36.84710	20.26712
1.904167	36.93896	20.26699
1.912500	37.02976	20.26685
1.920834	37.12202	20.26674
1.929166	37.21350	20.26665
1.937500	37.30372	20.26653
1.945834	37.39697	20.26640
1.954166	37.49165	20.26627
1.962500	37.58700	20.26612
1.970833	37.67641	20.26595
1.979166	37.77128	20.26584
1.987500	37.85987	20.26576
1.995833	37.95274	20.26568
2.004166	38.04680	20.26560
2.012500	38.13952	20.26552
2.020833	38.23098	20.26551
2.029167	38.32239	20.26549
2.037500	38.41220	20.26543
2.045834	38.50544	20.26538
2.054166	38.60103	20.26534
2.062500	38.69070	20.26526
2.070834	38.78507	20.26516
2.079166	38.88000	20.26506
2.087500	38.96580	20.26498
2.095833	39.05876	20.26486
2.104167	39.14988	20.26472
2.112500	39.24656	20.26457
2.120834	39.33870	20.26447
2.129166	39.42992	20.26438
2.137500	39.52216	20.26428
2.145833	39.61899	20.26417
2.154167	39.70734	20.26408
2.162500	39.79937	20.26396
2.170834	39.89283	20.26386
2.179166	39.97706	20.26376
2.187500	40.07308	20.26361
2.195834	40.16567	20.26349
2.204166	40.25588	20.26338
2.212500	40.34976	20.26326
2.220833	40.44104	20.26313
2.229167	40.53027	20.26301
2.237500	40.62200	20.26289
2.245834	40.71270	20.26276
2.254166	40.80437	20.26262
2.262500	40.89540	20.26248
2.270833	40.99052	20.26236
2.279167	41.08189	20.26221
2.287500	41.17033	20.26207
2.295834	41.26296	20.26195
2.304166	41.35537	20.26183
2.312500	41.44370	20.26171
2.320834	41.53627	20.26157
2.329166	41.62420	20.26142
2.337500	41.71828	20.26128
