"Time (min)"	"Temperature (°C)"	"Weight (mg)"
8.88889E-4	24.50828	20.14169
.004166667	24.53829	20.14190
0.01250000	24.56605	20.14205
0.02083334	24.60043	20.14226
0.02916666	24.63153	20.14244
0.03750000	24.66142	20.14254
0.04583334	24.68996	20.14262
0.05416668	24.71820	20.14272
0.06250000	24.74721	20.14274
0.07083332	24.77894	20.14271
0.07916666	24.81028	20.14269
0.08750000	24.83856	20.14272
0.09583332	24.86822	20.14278
0.1041666	24.89595	20.14278
0.1125000	24.93554	20.14278
0.1208333	24.96434	20.14284
0.1291666	24.99853	20.14286
0.1375000	25.03722	20.14284
0.1458333	25.07117	20.14287
0.1541667	25.10070	20.14293
0.1625000	25.14261	20.14294
0.1708334	25.18250	20.14296
0.1791666	25.21894	20.14295
0.1875000	25.26130	20.14287
0.1958334	25.29983	20.14284
0.2041667	25.34532	20.14279
0.2125000	25.39046	20.14277
0.2208333	25.44104	20.14279
0.2291667	25.48602	20.14274
0.2375000	25.53788	20.14269
0.2458334	25.59118	20.14268
0.2541666	25.64736	20.14268
0.2625000	25.69965	20.14266
0.2708334	25.75924	20.14270
0.2791667	25.81648	20.14271
0.2875000	25.88062	20.14269
0.2958333	25.94501	20.14267
0.3041667	26.00968	20.14266
0.3125000	26.08132	20.14267
0.3208333	26.14463	20.14265
0.3291667	26.21969	20.14259
0.3375000	26.29612	20.14249
0.3458333	26.37230	20.14244
0.3541666	26.45495	20.14238
0.3625000	26.53010	20.14230
0.3708334	26.61846	20.14224
0.3791666	26.70284	20.14217
0.3875000	26.79256	20.14206
0.3958334	26.88528	20.14198
0.4041666	26.98229	20.14190
0.4125000	27.07864	20.14184
0.4208333	27.17360	20.14177
0.4291667	27.27771	20.14165
0.4375000	27.37808	20.14150
0.4458333	27.49058	20.14140
0.4541667	27.59636	20.14129
0.4625000	27.71291	20.14120
0.4708334	27.82724	20.14111
0.4791666	27.94641	20.14100
0.4875000	28.07148	20.14091
0.4958334	28.19196	20.14080
0.5041666	28.31896	20.14070
0.5125000	28.44724	20.14062
0.5208332	28.58150	20.14056
0.5291666	28.71582	20.14049
0.5375000	28.85658	20.14041
0.5458334	28.99563	20.14028
0.5541668	29.14005	20.14016
0.5625000	29.28688	20.14004
0.5708332	29.43980	20.13992
0.5791666	29.58799	20.13980
0.5875000	29.74682	20.13967
0.5958334	29.90660	20.13956
0.6041668	30.06788	20.13945
0.6125000	30.23313	20.13933
0.6208334	30.40054	20.13920
0.6291666	30.56935	20.13908
0.6375000	30.74332	20.13899
0.6458332	30.91820	20.13891
0.6541666	31.09687	20.13882
0.6625000	31.28214	20.13871
0.6708334	31.46900	20.13862
0.6791668	31.65421	20.13851
0.6875000	31.84373	20.13836
0.6958332	32.03501	20.13824
0.7041666	32.23904	20.13814
0.7125000	32.43360	20.13802
0.7208334	32.63982	20.13792
0.7291668	32.84795	20.13780
0.7375000	33.05450	20.13766
0.7458334	33.26556	20.13756
0.7541666	33.48476	20.13742
0.7625000	33.69897	20.13730
0.7708332	33.91802	20.13719
0.7791666	34.14546	20.13706
0.7875000	34.36870	20.13691
0.7958334	34.59500	20.13680
0.8041668	34.82813	20.13667
0.8125000	35.06403	20.13652
0.8208332	35.30510	20.13639
0.8291666	35.53680	20.13625
0.8375000	35.78730	20.13614
0.8458334	36.03072	20.13601
0.8541668	36.27718	20.13588
0.8625000	36.53174	20.13576
0.8708332	36.78400	20.13564
0.8791668	37.03735	20.13549
0.8875000	37.30087	20.13535
0.8958332	37.56114	20.13524
0.9041666	37.82661	20.13513
0.9125000	38.09509	20.13498
0.9208334	38.36028	20.13483
0.9291668	38.63541	20.13472
0.9375000	38.90139	20.13462
0.9458332	39.18643	20.13446
0.9541666	39.45891	20.13429
0.9625000	39.74410	20.13414
0.9708334	40.02859	20.13400
0.9791668	40.31685	20.13381
0.9875000	40.60340	20.13362
0.9958332	40.88860	20.13344
1.004167	41.18538	20.13324
1.012500	41.48394	20.13302
1.020833	41.77764	20.13275
1.029167	42.07787	20.13254
1.037500	42.37839	20.13238
1.045834	42.68482	20.13224
1.054167	42.99276	20.13207
1.062500	43.29791	20.13190
1.070833	43.60610	20.13173
1.079166	43.91797	20.13159
1.087500	44.23030	20.13144
1.095833	44.54626	20.13126
1.104166	44.86772	20.13114
1.112500	45.18336	20.13099
1.120833	45.51032	20.13078
1.129167	45.83212	20.13052
1.137500	46.15619	20.13026
1.145834	46.48294	20.13006
1.154167	46.81267	20.12984
