"Time (min)"	"Temperature (°C)"	"Weight (mg)"
1.462500	43.21318	20.70497
1.470833	43.39334	20.70476
1.479166	43.57670	20.70454
1.487500	43.76096	20.70431
1.495833	43.94665	20.70409
1.504167	44.12342	20.70385
1.512500	44.30990	20.70358
1.520834	44.49638	20.70328
1.529167	44.67772	20.70296
1.537500	44.86306	20.70268
1.545834	45.04810	20.70241
1.554167	45.23395	20.70219
1.562500	45.41902	20.70201
1.570833	45.60200	20.70174
1.579166	45.78736	20.70136
1.587500	45.97280	20.70098
1.595833	46.16266	20.70061
1.604166	46.34326	20.70027
1.612500	46.53197	20.70004
1.620833	46.71631	20.69981
1.629167	46.90646	20.69955
1.637500	47.09102	20.69922
1.645834	47.27996	20.69885
1.654167	47.46804	20.69852
1.662500	47.65564	20.69824
1.670834	47.84197	20.69799
1.679166	48.02724	20.69772
1.687500	48.21546	20.69742
1.695834	48.40743	20.69707
1.704166	48.59591	20.69671
1.712500	48.78418	20.69634
1.720833	48.97290	20.69598
1.729166	49.16078	20.69563
1.737500	49.34898	20.69527
1.745833	49.53786	20.69495
1.754167	49.72610	20.69462
1.762500	49.91522	20.69429
1.770834	50.10122	20.69394
1.779167	50.29210	20.69355
1.787500	50.47989	20.69315
1.795834	50.66896	20.69274
1.804166	50.85996	20.69234
1.812500	51.04560	20.69195
1.820834	51.23676	20.69163
1.829166	51.42134	20.69130
1.837500	51.60920	20.69094
1.845833	51.79804	20.69057
1.854166	51.99150	20.69018
1.862500	52.17602	20.68986
1.870833	52.36628	20.68957
1.879167	52.55178	20.68933
1.887500	52.74208	20.68908
1.895834	52.93180	20.68876
1.904167	53.11597	20.68836
1.912500	53.30500	20.68794
1.920834	53.49438	20.68756
1.929166	53.67822	20.68723
1.937500	53.86668	20.68692
1.945834	54.05263	20.68656
1.954166	54.24141	20.68611
1.962500	54.42769	20.68562
1.970833	54.61450	20.68514
1.979166	54.80464	20.68471
1.987500	54.98814	20.68433
1.995833	55.17402	20.68398
2.004166	55.36046	20.68362
2.012500	55.54849	20.68320
2.020833	55.73682	20.68274
2.029167	55.91826	20.68226
2.037500	56.10278	20.68185
2.045834	56.29568	20.68142
2.054166	56.47950	20.68102
2.062500	56.66355	20.68062
2.070834	56.85046	20.68020
2.079166	57.03459	20.67974
2.087500	57.21985	20.67918
2.095833	57.40385	20.67860
2.104167	57.58691	20.67812
2.112500	57.77305	20.67767
2.120834	57.95437	20.67723
2.129166	58.13911	20.67680
2.137500	58.32656	20.67632
2.145833	58.50590	20.67579
2.154167	58.69294	20.67530
2.162500	58.87515	20.67482
2.170834	59.05976	20.67434
2.179166	59.24455	20.67390
2.187500	59.42405	20.67340
2.195834	59.60786	20.67291
2.204166	59.79105	20.67238
2.212500	59.97036	20.67181
2.220833	60.15120	20.67125
2.229167	60.33438	20.67068
2.237500	60.51276	20.67008
2.245834	60.69568	20.66949
2.254166	60.87774	20.66898
2.262500	61.05731	20.66846
2.270833	61.24115	20.66794
2.279167	61.41743	20.66741
2.287500	61.59582	20.66692
2.295834	61.77826	20.66646
2.304166	61.95951	20.66603
2.312500	62.13871	20.66559
2.320834	62.31588	20.66508
2.329166	62.49570	20.66452
2.337500	62.67157	20.66394
2.345833	62.85205	20.66337
2.354167	63.03443	20.66281
2.362500	63.21034	20.66227
2.370834	63.38919	20.66176
2.379166	63.56570	20.66123
2.387500	63.73839	20.66061
2.395833	63.91470	20.66004
2.404167	64.09057	20.65956
2.412500	64.26828	20.65913
2.420834	64.44736	20.65869
2.429166	64.62598	20.65824
2.437500	64.79841	20.65776
2.445834	64.97498	20.65721
2.454166	65.14729	20.65659
2.462500	65.32510	20.65594
2.470833	65.49882	20.65533
2.479167	65.67124	20.65475
2.487500	65.85005	20.65413
2.495834	66.02070	20.65351
2.504166	66.19647	20.65285
2.512500	66.36958	20.65214
2.520833	66.54280	20.65142
2.529167	66.71634	20.65078
2.537500	66.88913	20.65017
2.545834	67.06131	20.64956
2.554166	67.23526	20.64896
2.562500	67.40562	20.64830
2.570834	67.57621	20.64766
2.579166	67.75088	20.64702
2.587500	67.92202	20.64642
2.595833	68.09318	20.64589
2.604167	68.26516	20.64536
2.612500	68.43575	20.64478
2.620834	68.60976	20.64420
2.629166	68.77538	20.64360
2.637500	68.94594	20.64298
2.645833	69.12175	20.64234
2.654167	69.29634	20.64170
2.662500	69.45447	20.64108
2.670834	69.63606	20.64047
2.679166	69.79524	20.63984
2.687500	69.96412	20.63919
2.695834	70.13179	20.63851
2.704166	70.29809	20.63781
2.712500	70.46966	20.63713
2.720833	70.64024	20.63649
2.729167	70.80870	20.63583
2.737500	70.97272	20.63513
2.745834	71.14212	20.63444
2.754166	71.31109	20.63374
2.762500	71.47804	20.63299
2.770833	71.64620	20.63218
2.779167	71.81665	20.63140
2.787500	71.97974	20.63069
2.795834	72.14580	20.63002
2.804166	72.31387	20.62935
2.812500	72.47751	20.62866
2.820834	72.64209	20.62795
2.829166	72.81096	20.62721
2.837500	72.97688	20.62645
2.845833	73.14452	20.62567
2.854167	73.31064	20.62499
2.862500	73.47637	20.62430
2.870834	73.64220	20.62360
2.879166	73.80320	20.62287
2.887500	73.97094	20.62213
2.895833	74.13478	20.62142
2.904167	74.29739	20.62072
2.912500	74.46228	20.61998
2.920834	74.62680	20.61924
2.929166	74.79044	20.61856
2.937500	74.95507	20.61789
2.945834	75.11928	20.61720
2.954166	75.28372	20.61649
2.962500	75.44744	20.61576
2.970833	75.61030	20.61501
2.979167	75.77438	20.61427
2.987500	75.93809	20.61352
2.995834	76.09586	20.61280
3.004166	76.27251	20.61209
3.012500	76.43506	20.61128
3.020833	76.58574	20.61038
3.029167	76.75191	20.60946
3.037500	76.91366	20.60850
3.045834	77.07650	20.60756
3.054166	77.23609	20.60674
3.062500	77.39918	20.60598
3.070834	77.55910	20.60525
3.079166	77.72208	20.60451
3.087500	77.88378	20.60378
3.095833	78.04780	20.60309
3.104167	78.20984	20.60242
3.112500	78.37010	20.60179
3.120834	78.53388	20.60122
3.129166	78.69311	20.60061
3.137500	78.85422	20.59994
3.145833	79.01220	20.59918
3.154167	79.17429	20.59840
3.162500	79.33525	20.59761
3.170834	79.50108	20.59680
3.179166	79.65886	20.59602
3.187500	79.82299	20.59530
3.195834	79.97912	20.59454
3.204167	80.14106	20.59374
3.212500	80.30293	20.59298
3.220833	80.46391	20.59221
3.229167	80.62416	20.59144
