t (min),T (C),m (mg)
0.0,30.0,19.999913880808833
0.1940970485242616,30.485242621310654,19.999844761898697
0.3881940970485246,30.97048524262131,19.999772506343906
0.5822911455727862,31.455727863931966,19.99969698251457
0.7763881940970492,31.940970485242623,19.999618053722095
0.9704852426213109,32.42621310655328,19.999535578043442
1.1645822911455723,32.91145572786393,19.999449408140002
1.358679339669834,33.396698349174585,19.999359391070907
1.5527763881940984,33.881940970485246,19.999265368100623
1.74687343671836,34.3671835917959,19.999167174500712
1.9409704852426217,34.852426213106554,19.999064639345587
2.1350675337668834,35.33766883441721,19.998957585302083
2.3291645822911446,35.82291145572786,19.99884582841274
2.5232616308154094,36.30815407703852,19.998729177872583
2.7173586793396707,36.79339669834918,19.998607435799265
2.9114557278639324,37.27863931965983,19.99848039699639
3.105552776388194,37.763881940970485,19.99834784870984
3.2996498249124557,38.24912456228114,19.998209570376975
3.49374687343672,38.7343671835918,19.998065333368423
3.6878439219609787,39.21960980490245,19.99791490072241
3.8819409704852434,39.70485242621311,19.99775802687135
4.076038019009505,40.19009504752376,19.997594457360517
4.270135067533767,40.675337668834416,19.99742392855868
4.464232116058028,41.16058029014507,19.997246167360355
4.658329164582289,41.645822911455724,19.997060890879673
4.852426213106554,42.131065532766385,19.996867806135462
5.046523261630815,42.61630815407704,19.996666609727477
5.2406203101550775,43.10155077538769,19.996456987503496
5.434717358679339,43.58679339669835,19.996238614217088
5.628814407203601,44.072036018009,19.99601115317584
5.822911455727865,44.55727863931966,19.9957742558798
6.017008504252127,45.042521260630316,19.995527561649933
6.211105552776388,45.52776388194097,19.995270697246326
6.405202601300649,46.013006503251624,19.995003276475963
6.5992996498249115,46.49824912456228,19.994724899789773
6.793396698349175,46.98349174587294,19.994435153868746
6.9874937468734375,47.46873436718359,19.99413361119885
7.181590795397699,47.95397698849425,19.99381982963453
7.375687843921961,48.4392196098049,19.99349335195048
7.569784892446222,48.924462231115555,19.99315370538151
7.763881940970487,49.409704852426216,19.992800401150166
7.9579789894947455,49.89494747373686,19.992432933981906
8.15207603801901,50.380190095047524,19.992050781607492
8.34617308654327,50.86543271635818,19.99165340425242
8.540270135067534,51.35067533766883,19.991240244113015
8.734367183591797,51.83591795897949,19.990810724818964
8.928464232116056,52.32116058029014,19.990364250882028
9.122561280640321,52.8064032016008,19.989900207130557
9.316658329164582,53.291645822911455,19.989417958129632
9.510755377688843,53.77688844422211,19.98891684758644
