t (min),T (C),m (mg)
0.0,30.0,19.9998299551606
0.1940970485242616,30.485242621310654,19.9998299103212
0.3881940970485246,30.97048524262131,19.99982986329793
0.5822911455727862,31.455727863931966,19.999829813991898
0.7763881940970492,31.940970485242623,19.999829762300106
0.9704852426213109,32.42621310655328,19.99982970811525
1.1645822911455723,32.91145572786393,19.999829651325594
1.358679339669834,33.396698349174585,19.999829591814777
1.5527763881940984,33.881940970485246,19.999829529461653
1.74687343671836,34.3671835917959,19.9998294641401
1.9409704852426217,34.852426213106554,19.999829395718844
2.1350675337668834,35.33766883441721,19.999829324061267
2.3291645822911446,35.82291145572786,19.9998292490252
2.5232616308154094,36.30815407703852,19.99982917046272
2.7173586793396707,36.79339669834918,19.999829088219954
2.9114557278639324,37.27863931965983,19.99982900213683
3.105552776388194,37.763881940970485,19.99982891204688
3.2996498249124557,38.24912456228114,19.99982881777699
3.49374687343672,38.7343671835918,19.99982871914716
3.6878439219609787,39.21960980490245,19.999828615970266
3.8819409704852434,39.70485242621311,19.999828508051788
4.076038019009505,40.19009504752376,19.999828395189557
4.270135067533767,40.675337668834416,19.999828277173467
4.464232116058028,41.16058029014507,19.99982815378521
4.658329164582289,41.645822911455724,19.999828024797974
4.852426213106554,42.131065532766385,19.999827889976135
5.046523261630815,42.61630815407704,19.999827749074967
5.2406203101550775,43.10155077538769,19.9998276018403
5.434717358679339,43.58679339669835,19.999827448008197
5.628814407203601,44.072036018009,19.999827287304626
5.822911455727865,44.55727863931966,19.99982711944509
6.017008504252127,45.042521260630316,19.99982694413427
6.211105552776388,45.52776388194097,19.999826761065655
6.405202601300649,46.013006503251624,19.99982656992116
6.5992996498249115,46.49824912456228,19.99982637037072
6.793396698349175,46.98349174587294,19.99982616207189
6.9874937468734375,47.46873436718359,19.999825944669414
7.181590795397699,47.95397698849425,19.999825717794796
7.375687843921961,48.4392196098049,19.999825481065855
7.569784892446222,48.924462231115555,19.999825234086263
7.763881940970487,49.409704852426216,19.99982497644506
7.9579789894947455,49.89494747373686,19.99982470771618
8.15207603801901,50.380190095047524,19.99982442745794
8.34617308654327,50.86543271635818,19.99982413521252
8.540270135067534,51.35067533766883,19.999823830505434
8.734367183591797,51.83591795897949,19.999823512844976
8.928464232116056,52.32116058029014,19.999823181721656
9.122561280640321,52.8064032016008,19.999822836607613
9.316658329164582,53.291645822911455,19.999822476956027
9.510755377688843,53.77688844422211,19.999822102200497
9.704852426213108,54.26213106553277,19.999821711754393
9.898949474737368,54.74737368684342,19.999821305010233
10.09304652326163,55.23261630815408,19.999820881338977
10.287143571785894,55.71785892946473,19.99982044008936
10.481240620310155,56.203101550775386,19.99981998058718
10.67533766883442,56.68834417208605,19.999819502134553
10.869434717358677,57.173586793396694,19.999819004009172
11.063531765882942,57.658829414707355,19.999818485463546
11.257628814407203,58.14407203601801,19.99981794572417
11.451725862931465,58.62931465732866,19.99981738399076
11.645822911455728,59.11455727863932,19.99981679943536
11.839919959979989,59.59979989994997,19.99981619120153
12.034017008504254,60.08504252126063,19.999815558403412
12.228114057028515,60.57028514257129,19.99981490012486
12.422211105552776,61.05552776388194,19.999814215418482
12.616308154077037,61.540770385192594,19.999813503304686
12.810405202601299,62.02601300650325,19.99981276277069
13.004502251125563,62.51125562781391,19.999811992769516
13.198599299649825,62.99649824912456,19.999811192218925
13.392696348174088,63.48174087043522,19.999810360000378
13.586793396698349,63.96698349174587,19.999809494957926
13.78089044522261,64.45222611305653,19.999808595897072
13.974987493746875,64.93746873436719,19.999807661583624
14.16908454227114,65.42271135567785,19.999806690742506
14.363181590795397,65.9079539769885,19.999805682056536
14.557278639319657,66.39319659829914,19.99980463416517
