t (min),T (C),m (mg)
0.0,30.0,19.99982993594372
0.1940970485242616,30.485242621310654,19.99982987188744
0.3881940970485246,30.97048524262131,19.999829804711336
0.5822911455727862,31.455727863931966,19.999829734274154
0.7763881940970492,31.940970485242623,19.999829660428738
0.9704852426213109,32.42621310655328,19.99982958302181
1.1645822911455723,32.91145572786393,19.999829501893736
1.358679339669834,33.396698349174585,19.99982941687829
1.5527763881940984,33.881940970485246,19.999829327802402
1.74687343671836,34.3671835917959,19.999829234485905
1.9409704852426217,34.852426213106554,19.999829136741262
2.1350675337668834,35.33766883441721,19.9998290343733
2.3291645822911446,35.82291145572786,19.999828927178925
2.5232616308154094,36.30815407703852,19.999828814946824
2.7173586793396707,36.79339669834918,19.999828697457165
2.9114557278639324,37.27863931965983,19.999828574481285
3.105552776388194,37.763881940970485,19.999828445781365
3.2996498249124557,38.24912456228114,19.999828311110104
3.49374687343672,38.7343671835918,19.99982817021036
3.6878439219609787,39.21960980490245,19.999828022814807
3.8819409704852434,39.70485242621311,19.999827868645568
4.076038019009505,40.19009504752376,19.99982770741382
4.270135067533767,40.675337668834416,19.99982753881942
4.464232116058028,41.16058029014507,19.9998273625505
4.658329164582289,41.645822911455724,19.999827178283038
4.852426213106554,42.131065532766385,19.999826985680432
5.046523261630815,42.61630815407704,19.99982678439307
5.2406203101550775,43.10155077538769,19.99982657405785
5.434717358679339,43.58679339669835,19.99982635429773
5.628814407203601,44.072036018009,19.999826124721224
5.822911455727865,44.55727863931966,19.99982588492191
6.017008504252127,45.042521260630316,19.999825634477908
6.211105552776388,45.52776388194097,19.99982537295135
6.405202601300649,46.013006503251624,19.99982509988782
6.5992996498249115,46.49824912456228,19.999824814815796
6.793396698349175,46.98349174587294,19.999824517246076
6.9874937468734375,47.46873436718359,19.99982420667115
7.181590795397699,47.95397698849425,19.999823882564595
7.375687843921961,48.4392196098049,19.99982354438044
7.569784892446222,48.924462231115555,19.999823191552498
7.763881940970487,49.409704852426216,19.999822823493687
7.9579789894947455,49.89494747373686,19.99982243959534
8.15207603801901,50.380190095047524,19.999822039226487
8.34617308654327,50.86543271635818,19.999821621733094
8.540270135067534,51.35067533766883,19.999821186437323
8.734367183591797,51.83591795897949,19.99982073263674
8.928464232116056,52.32116058029014,19.999820259603496
9.122561280640321,52.8064032016008,19.999819766583517
9.316658329164582,53.291645822911455,19.999819252795625
9.510755377688843,53.77688844422211,19.999818717430667
9.704852426213108,54.26213106553277,19.99981815965062
9.898949474737368,54.74737368684342,19.999817578587635
10.09304652326163,55.23261630815408,19.999816973343094
10.287143571785894,55.71785892946473,19.999816342986616
10.481240620310155,56.203101550775386,19.999815686555053
10.67533766883442,56.68834417208605,19.999815003051435
10.869434717358677,57.173586793396694,19.99981429144389
11.063531765882942,57.658829414707355,19.999813550664573
11.257628814407203,58.14407203601801,19.999812779608487
11.451725862931465,58.62931465732866,19.999811977132353
11.645822911455728,59.11455727863932,19.999811142053392
11.839919959979989,59.59979989994997,19.999810273148107
12.034017008504254,60.08504252126063,19.999809369151002
12.228114057028515,60.57028514257129,19.999808428753287
12.422211105552776,61.05552776388194,19.999807450601548
12.616308154077037,61.540770385192594,19.99980643329637
12.810405202601299,62.02601300650325,19.999805375390924
13.004502251125563,62.51125562781391,19.999804275389515
13.198599299649825,62.99649824912456,19.999803131746106
13.392696348174088,63.48174087043522,19.99980194286278
13.586793396698349,63.96698349174587,19.999800707088177
13.78089044522261,64.45222611305653,19.999799422715878
13.974987493746875,64.93746873436719,19.99979808798275
14.16908454227114,65.42271135567785,19.99979670106726
14.363181590795397,65.9079539769885,19.999795260087716
14.557278639319657,66.39319659829914,19.99979376310049
14.751375687843922,66.8784392196098,19.99979220809818
14.945472736368185,67.36368184092046,19.999790593007724
15.139569784892444,67.84892446223111,19.999788915688463
15.333666833416709,68.33416708354177,19.99978717393017
15.527763881940974,68.81940970485243,19.99978536545101
15.721860930465231,69.30465232616308,19.999783487895453
15.915957978989491,69.78989494747373,19.999781538832124
16.11005502751376,70.2751375687844,19.99977951575163
16.30415207603802,70.76038019009505,19.999777416064287
16.498249124562278,71.2456228114057,19.999775237097825
16.69234617308654,71.73086543271636,19.999772976095016
16.886443221610808,72.21610805402702,19.99977063021125
17.080540270135067,72.70135067533766,19.999768196512047
17.27463731865933,73.18659329664833,19.999765671970504
17.468734367183593,73.67183591795899,19.99976305346469
17.662831415707853,74.15707853926963,19.999760337774955
17.856928464232112,74.64232116058028,19.999757521581195
18.051025512756375,75.12756378189094,19.999754601460044
18.245122561280642,75.6128064032016,19.999751573881973
18.4392196098049,76.09804902451225,19.999748435208364
18.633316658329164,76.58329164582291,19.99974518168846
18.827413706853427,77.06853426713357,19.99974180945629
19.021510755377687,77.55377688844422,19.999738314527473
19.215607803901953,78.03901950975488,19.99973469279599
19.409704852426216,78.52426213106554,19.999730940030844
19.603801900950476,79.00950475237619,19.999727051872654
19.797898949474735,79.49474737368683,19.999723023830168
19.991995997999,79.9799899949975,19.999718851276686
20.18609304652326,80.46523261630816,19.99971452944641
20.38019009504752,80.9504752376188,19.9997100534307
20.574287143571787,81.43571785892946,19.99970541817423
20.76838419209605,81.92096048024013,19.99970061847108
20.96248124062031,82.40620310155077,19.999695648960724
21.15657828914457,82.89144572286142,19.999690504123908
21.35067533766884,83.3766883441721,19.999685178278458
21.544772386193095,83.86193096548274,19.999679665574988
21.738869434717355,84.34717358679339,19.99967395999248
21.93296648324162,84.83241620810405,19.999668055333807
22.127063531765884,85.31765882941471,19.999661945221114
