t (min),T (C),m (mg)
0.0,30.0,19.999829989323953
0.03234950808737693,30.485242621310654,19.999829978647906
0.0646990161747541,30.97048524262131,19.999829967451888
0.09704852426213104,31.455727863931966,19.999829955712357
0.1293980323495082,31.940970485242623,19.99982994340479
0.16174754043688513,32.42621310655328,19.999829930503633
0.19409704852426207,32.91145572786393,19.99982991698229
0.226446556611639,33.396698349174585,19.999829902813048
0.2587960646990164,33.881940970485246,19.999829887967067
0.29114557278639336,34.3671835917959,19.999829872414317
0.32349508087377027,34.852426213106554,19.99982985612354
0.3558445889611472,35.33766883441721,19.999829839062212
0.38819409704852414,35.82291145572786,19.99982982119648
0.42054360513590155,36.30815407703852,19.99982980249113
0.45289311322327847,36.79339669834918,19.999829782909522
0.48524262131065543,37.27863931965983,19.99982976241354
0.5175921293980323,37.763881940970485,19.999829740963552
0.5499416374854093,38.24912456228114,19.99982971851834
0.5822911455727867,38.7343671835918,19.999829695035046
0.6146406536601632,39.21960980490245,19.99982967046912
0.6469901617475405,39.70485242621311,19.999829644774245
0.6793396698349174,40.19009504752376,19.999829617902282
0.7116891779222944,40.675337668834416,19.999829589803213
0.7440386860096714,41.16058029014507,19.999829560425056
0.7763881940970483,41.645822911455724,19.999829529713807
0.8087377021844256,42.131065532766385,19.99982949761337
0.8410872102718027,42.61630815407704,19.99982946406547
0.8734367183591796,43.10155077538769,19.999829429009594
0.9057862264465565,43.58679339669835,19.999829392382903
0.9381357345339334,44.072036018009,19.999829354120145
0.9704852426213109,44.55727863931966,19.999829314153587
1.0028347507086877,45.042521260630316,19.99982927241291
1.0351842587960647,45.52776388194097,19.999829228825142
1.0675337668834417,46.013006503251624,19.999829183314542
1.0998832749708185,46.49824912456228,19.99982913580253
1.132232783058196,46.98349174587294,19.999829086207562
1.164582291145573,47.46873436718359,19.99982903444506
1.1969317992329498,47.95397698849425,19.999828980427285
1.2292813073203268,48.4392196098049,19.99982892406324
1.2616308154077036,48.924462231115555,19.999828865258564
1.293980323495081,49.409704852426216,19.99982880391541
1.3263298315824577,49.89494747373686,19.99982873993233
1.358679339669835,50.380190095047524,19.999828673204163
1.391028847757212,50.86543271635818,19.999828603621904
1.4233783558445887,51.35067533766883,19.99982853107258
1.4557278639319662,51.83591795897949,19.999828455439115
1.4880773720193428,52.32116058029014,19.999828376600206
1.52042688010672,52.8064032016008,19.99982829443017
1.552776388194097,53.291645822911455,19.99982820879881
1.585125896281474,53.77688844422211,19.999828119571273
1.6174754043688513,54.26213106553277,19.99982802660788
1.6498249124562279,54.74737368684342,19.999827929763992
1.6821744205436053,55.23261630815408,19.999827828889842
1.7145239286309821,55.71785892946473,19.99982772383036
1.7468734367183592,56.203101550775386,19.999827614425026
1.7792229448057364,56.68834417208605,19.999827500507678
1.811572452893113,57.173586793396694,19.999827381906332
1.8439219609804904,57.658829414707355,19.99982725844302
1.8762714690678672,58.14407203601801,19.999827129933568
1.9086209771552443,58.62931465732866,19.99982699618743
1.940970485242621,59.11455727863932,19.99982685700748
1.973319993329998,59.59979989994997,19.9998267121898
2.0056695014173753,60.08504252126063,19.99982656152347
2.0380190095047523,60.57028514257129,19.99982640479036
2.0703685175921294,61.05552776388194,19.999826241764897
2.1027180256795064,61.540770385192594,19.999826072213846
2.1350675337668834,62.02601300650325,19.99982589589607
2.1674170418542604,62.51125562781391,19.99982571256228
2.1997665499416375,62.99649824912456,19.999825521954804
2.2321160580290145,63.48174087043522,19.999825323807322
2.2644655661163915,63.96698349174587,19.999825117844605
2.2968150742037685,64.45222611305653,19.999824903782248
2.329164582291146,64.93746873436719,19.999824681326395
2.361514090378523,65.42271135567785,19.99982445017345
2.3938635984658996,65.9079539769885,19.999824210009802
2.426213106553276,66.39319659829914,19.999823960511506
2.4585626146406536,66.8784392196098,19.999823701343992
2.490912122728031,67.36368184092046,19.99982343216175
2.523261630815407,67.84892446223111,19.999823152608002
2.5556111389027847,68.33416708354177,19.999822862314367
2.587960646990162,68.81940970485243,19.99982256090054
2.6203101550775387,69.30465232616308,19.99982224797393
2.6526596631649153,69.78989494747373,19.999821923129304
2.6850091712522937,70.2751375687844,19.999821585948418
2.71735867933967,70.76038019009505,19.99982123599966
2.7497081874270464,71.2456228114057,19.99982087283765
2.782057695514424,71.73086543271636,19.999820496002837
2.8144072036018013,72.21610805402702,19.999820105021115
2.8467567116891774,72.70135067533766,19.9998196994034
2.879106219776555,73.18659329664833,19.9998192786452
2.9114557278639324,73.67183591795899,19.99981884222619
2.943805235951309,74.15707853926963,19.99981838960975
2.9761547440386855,74.64232116058028,19.99981792024252
3.008504252126063,75.12756378189094,19.999817433553932
3.04085376021344,75.6128064032016,19.99981692895572
3.0732032683008166,76.09804902451225,19.999816405841443
3.105552776388194,76.58329164582291,19.999815863585958
3.1379022844755715,77.06853426713357,19.999815301544924
3.170251792562948,77.55377688844422,19.99981471905427
3.202601300650325,78.03901950975488,19.999814115429643
3.2349508087377026,78.52426213106554,19.999813489965863
3.267300316825079,79.00950475237619,19.999812841936354
3.2996498249124557,79.49474737368683,19.99981217059255
3.331999332999833,79.9799899949975,19.999811475163323
3.3643488410872107,80.46523261630816,19.99981075485435
3.396698349174587,80.9504752376188,19.99981000884751
3.4290478572619643,81.43571785892946,19.999809236300223
3.4613973653493417,81.92096048024013,19.999808436344814
3.4937468734367183,82.40620310155077,19.999807608087835
3.5260963815240944,82.89144572286142,19.999806750609384
3.558445889611473,83.3766883441721,19.999805862962408
3.5907953976988494,83.86193096548274,19.999804944171974
3.623144905786226,84.34717358679339,19.999803993234547
